Date,Date,Open,Close,High,Low,Volume
2020-09-30 03:14:18,2020-09-30 03:14:18,1.17319,1.17319,1.17319,1.17319,0
2020-09-30 03:14:19,2020-09-30 03:14:19,1.17319,1.17319,1.17319,1.17319,4
2020-09-30 03:14:20,2020-09-30 03:14:20,1.17319,1.17319,1.17319,1.17319,2
2020-09-30 03:14:21,2020-09-30 03:14:21,1.17319,1.17319,1.17319,1.17319,0
2020-09-30 03:14:22,2020-09-30 03:14:22,1.17319,1.17319,1.17319,1.17319,0
2020-09-30 03:14:23,2020-09-30 03:14:23,1.17319,1.17309,1.17319,1.17309,8
2020-09-30 03:14:24,2020-09-30 03:14:24,1.17309,1.17309,1.17309,1.17309,0
2020-09-30 03:14:25,2020-09-30 03:14:25,1.17309,1.17309,1.17309,1.17309,0
2020-09-30 03:14:26,2020-09-30 03:14:26,1.17309,1.17309,1.17309,1.17309,1
2020-09-30 03:14:27,2020-09-30 03:14:27,1.17309,1.17309,1.17309,1.17309,2
2020-09-30 03:14:28,2020-09-30 03:14:28,1.17309,1.17309,1.17309,1.17309,2
2020-09-30 03:14:29,2020-09-30 03:14:29,1.17309,1.17309,1.17309,1.17309,1
2020-09-30 03:14:30,2020-09-30 03:14:30,1.17309,1.17309,1.17309,1.17309,0
2020-09-30 03:14:31,2020-09-30 03:14:31,1.17309,1.17309,1.17309,1.17309,0
2020-09-30 03:14:32,2020-09-30 03:14:32,1.17307,1.17307,1.17307,1.17307,1
2020-09-30 03:14:33,2020-09-30 03:14:33,1.17307,1.17307,1.17307,1.17307,1
2020-09-30 03:14:34,2020-09-30 03:14:34,1.17307,1.17308,1.17308,1.17307,3
2020-09-30 03:14:35,2020-09-30 03:14:35,1.17307,1.17303,1.17307,1.17303,8
2020-09-30 03:14:36,2020-09-30 03:14:36,1.17303,1.173,1.17303,1.173,2
2020-09-30 03:14:37,2020-09-30 03:14:37,1.173,1.173,1.173,1.173,0
2020-09-30 03:14:38,2020-09-30 03:14:38,1.173,1.173,1.173,1.173,0
2020-09-30 03:14:39,2020-09-30 03:14:39,1.173,1.17303,1.17303,1.173,6
2020-09-30 03:14:40,2020-09-30 03:14:40,1.17303,1.17303,1.17303,1.17303,0
2020-09-30 03:14:41,2020-09-30 03:14:41,1.17304,1.17306,1.17306,1.17304,5
2020-09-30 03:14:42,2020-09-30 03:14:42,1.17306,1.17307,1.17308,1.17306,5
2020-09-30 03:14:43,2020-09-30 03:14:43,1.17307,1.17307,1.17307,1.17307,1
2020-09-30 03:14:44,2020-09-30 03:14:44,1.17307,1.17309,1.17309,1.17307,8
2020-09-30 03:14:45,2020-09-30 03:14:45,1.17309,1.17304,1.17309,1.17304,11
2020-09-30 03:14:46,2020-09-30 03:14:46,1.17304,1.17303,1.17304,1.17303,2
2020-09-30 03:14:47,2020-09-30 03:14:47,1.17304,1.17304,1.17304,1.17304,1
2020-09-30 03:14:48,2020-09-30 03:14:48,1.17304,1.17304,1.17304,1.17304,0
2020-09-30 03:14:49,2020-09-30 03:14:49,1.17304,1.17304,1.17304,1.17304,0
2020-09-30 03:14:50,2020-09-30 03:14:50,1.17304,1.17304,1.17304,1.17304,0
2020-09-30 03:14:51,2020-09-30 03:14:51,1.17304,1.17304,1.17304,1.17304,0
2020-09-30 03:14:52,2020-09-30 03:14:52,1.17304,1.17304,1.17304,1.17304,0
2020-09-30 03:14:53,2020-09-30 03:14:53,1.17304,1.17304,1.17304,1.17304,0
2020-09-30 03:14:54,2020-09-30 03:14:54,1.17304,1.17304,1.17304,1.17304,0
2020-09-30 03:14:55,2020-09-30 03:14:55,1.17304,1.17304,1.17304,1.17304,0
2020-09-30 03:14:56,2020-09-30 03:14:56,1.17303,1.17303,1.17303,1.17303,2
2020-09-30 03:14:57,2020-09-30 03:14:57,1.17303,1.17303,1.17303,1.17303,3
2020-09-30 03:14:58,2020-09-30 03:14:58,1.17304,1.17304,1.17305,1.17304,4
2020-09-30 03:14:59,2020-09-30 03:14:59,1.17299,1.17304,1.17304,1.17295,15
2020-09-30 03:15:00,2020-09-30 03:15:00,1.17304,1.17304,1.17304,1.17304,0
2020-09-30 03:15:01,2020-09-30 03:15:01,1.17303,1.17305,1.17305,1.17303,7
2020-09-30 03:15:02,2020-09-30 03:15:02,1.17305,1.17307,1.17307,1.17304,9
2020-09-30 03:15:03,2020-09-30 03:15:03,1.17307,1.17315,1.17315,1.17307,9
2020-09-30 03:15:04,2020-09-30 03:15:04,1.17315,1.17315,1.17315,1.17315,1
2020-09-30 03:15:05,2020-09-30 03:15:05,1.17316,1.17321,1.17321,1.17316,5
2020-09-30 03:15:06,2020-09-30 03:15:06,1.17321,1.17317,1.17321,1.17317,8
2020-09-30 03:15:07,2020-09-30 03:15:07,1.17319,1.17319,1.17319,1.17319,1
2020-09-30 03:15:08,2020-09-30 03:15:08,1.17319,1.17319,1.17319,1.17319,0
2020-09-30 03:15:09,2020-09-30 03:15:09,1.17319,1.17324,1.17324,1.17319,4
2020-09-30 03:15:10,2020-09-30 03:15:10,1.17325,1.17325,1.17325,1.17325,1
2020-09-30 03:15:11,2020-09-30 03:15:11,1.17326,1.17331,1.17331,1.17326,6
2020-09-30 03:15:12,2020-09-30 03:15:12,1.17331,1.17331,1.17331,1.17331,0
2020-09-30 03:15:13,2020-09-30 03:15:13,1.17331,1.17331,1.17331,1.17331,0
2020-09-30 03:15:14,2020-09-30 03:15:14,1.17331,1.17331,1.17331,1.17331,1
2020-09-30 03:15:15,2020-09-30 03:15:15,1.17331,1.17334,1.17334,1.17331,4
2020-09-30 03:15:16,2020-09-30 03:15:16,1.17333,1.17332,1.17333,1.17332,5
2020-09-30 03:15:17,2020-09-30 03:15:17,1.17332,1.17332,1.17332,1.17332,0
2020-09-30 03:15:18,2020-09-30 03:15:18,1.17332,1.17332,1.17332,1.17332,0
2020-09-30 03:15:19,2020-09-30 03:15:19,1.17333,1.17332,1.17333,1.17332,2
2020-09-30 03:15:20,2020-09-30 03:15:20,1.17333,1.17333,1.17333,1.17332,3
2020-09-30 03:15:21,2020-09-30 03:15:21,1.17333,1.17333,1.17333,1.17333,0
2020-09-30 03:15:22,2020-09-30 03:15:22,1.17332,1.17331,1.17332,1.17331,3
2020-09-30 03:15:23,2020-09-30 03:15:23,1.17331,1.17331,1.17331,1.17331,0
2020-09-30 03:15:24,2020-09-30 03:15:24,1.17331,1.17331,1.17331,1.17331,0
